202418440201|唐楷阳|0201|116924.69|0|0
202418440202|高展翼|0202|9401.88|0|0
202418440203|王林艳|0203|53130.13|0|0
202418440204|王若瑶|0204|44061.88|0|0
202418440205|李思语|0205|133882.46|0|0
202418440206|陈雨淇|0206|123422.41|0|0
202418440207|李文欣|0207|161131.42|0|0
202418440208|刘正坤|0208|20214.3|0|0
202418440209|王泓舒|0209|78836.32|0|0
202418440210|于海超|0210|10214.51|0|0
202418440211|刘金浩|0211|43261.65|0|0
202418440212|李拓|0212|93437.18|0|0
202418440213|刘东|0213|9643.79|0|0
202418440214|张高赫|0214|39796.59|0|0
202418440215|耿文晶|0215|118729.78|0|0
202418440216|陈桐宇|0216|100364.76|0|0
202418440217|孟庆睿|0217|43577.11|0|0
202418440218|谷元杰|0218|108121.49|0|1
202418440219|李延豪|0219|146650.33|0|1
202418440220|郝璐璐|0220|6137.28|0|0
202418440221|于名昊|0221|146018.37|0|1
202418440222|甄建斌|0222|127174.39|0|0
202418440223|乔国浚|0223|64543.84|0|0
202418440224|张文杰|0224|32208.91|0|0
202418440225|宋雨璐|0225|172512.29|0|0
202418440226|郇梓翔|0226|63904.05|0|0
202418440227|王若涵|0227|21230.52|0|0
202418440228|徐然|0228|21925.37|0|0
202418440229|陈文浩|0229|153311.51|0|0
202418440230|刘心怡|0230|110652.06|0|0
202418440231|许建策|0231|146247.45|0|0
202418440232|许燕薇|0232|132703.06|0|0
202418440233|顾麦壮|0233|98839.92|0|0
202418440234|刘兆涵|0234|175295.26|0|0
202418440235|孔梦寒|0235|71243.52|0|0
202418440236|傅楷皓|0236|101607.11|0|0
202418440237|林运磊|0237|150145.82|0|0
202418440238|王博远|0238|113240.96|0|0
202418440239|吴跃红|0239|155798.71|0|0
202418440240|白洁|0240|106036.63|0|0
202418440241|杨涛铭|0241|128300.07|0|0
202418440242|王可馨|0242|13019.27|0|0
202418440243|何晔|0243|44882.2|0|0
202418440244|王子熙|0244|55642.89|0|0
202418440245|冶利涛|0245|18963.6|0|0
202418440246|闫玉敏|0246|45738.41|0|0
202418440247|连艺淳|0247|22675.25|0|0
202418440248|武静宇|0248|53645.38|0|0
202418440249|高愉竣|0249|116244.78|0|0
202418440250|赵文菁|0250|68845.63|0|0
